rank,Longitude,Latitude,Time,Temperature,Depth,Vaissel_name,Profil_id
0,8.172499656677246,63.06880187988281,19646.98138888889,11.366,0,AA,73
1,8.134499549865723,63.10580062866211,19647.258287037035,10.468,0,AA,71
2,8.102800369262695,63.12730026245117,19647.28840277778,10.896,0,AA,70
3,8.101300239562988,63.12799835205078,19647.566527777777,10.304,0,AA,69
4,8.379799842834473,62.95320129394531,19647.952777777777,12.89,0,AA,76
5,8.428500175476074,62.917198181152344,19648.124537037038,11.049,0,AA,78
6,8.28600025177002,62.997501373291016,19648.305671296297,8.879,0,AA,75
7,5.307000160217285,61.08150100708008,19649.426550925924,9.35,0,AA,21
8,5.307000160217285,61.08150100708008,19649.456597222223,9.282,0,AA,21
9,5.559700012207031,60.87070083618164,19650.209328703702,10.699,0,AA,35
10,5.386199951171875,60.87179946899414,19650.403171296297,10.088000000000001,0,AA,27
11,5.47130012512207,60.88199996948242,19650.647696759257,10.698,0,AA,32
12,5.347499847412109,60.84880065917969,19650.99832175926,12.971,0,AA,25
13,5.316699981689453,60.80619812011719,19651.030208333334,7.3950000000000005,0,AA,22
14,5.317299842834473,60.80619812011719,19651.379756944447,7.41,0,AA,23
15,5.168700218200684,60.685699462890625,19652.187280092592,9.009,0,AA,15
16,5.168700218200684,60.685699462890625,19652.5134375,9.053,0,AA,15
17,5.215000152587891,60.65620040893555,19652.67042824074,10.099,0,AA,17
18,5.255799770355225,60.624298095703125,19652.937997685185,9.835,0,AA,20
19,5.091300010681152,60.71220016479492,19653.09107638889,8.34,0,AA,14
20,5.05620002746582,60.72549819946289,19653.734733796296,8.384,0,AA,12
21,5.055799961090088,60.725799560546875,19653.749270833334,8.227,0,AA,11
22,5.038300037384033,60.73350143432617,19653.932997685184,9.332,0,AA,10
23,9.120800018310547,58.481201171875,19661.37261574074,10.175,0,AA,85
24,9.1875,58.4807014465332,19661.413425925926,9.694,0,AA,87
25,9.27970027923584,58.56079864501953,19661.519027777777,11.072000000000001,0,AA,88
26,9.76550006866455,58.77799987792969,19661.746296296296,9.84,0,AA,94
27,9.815999984741211,58.85200119018555,19661.83449074074,9.478,0,AA,95
28,9.817000389099121,58.91019821166992,19661.923310185186,10.290000000000001,0,AA,96
29,10.034500122070312,58.854000091552734,19662.02949074074,8.883000000000001,0,AA,98
30,10.376700401306152,58.8672981262207,19662.152824074074,9.633000000000001,0,AA,100
31,9.333200454711914,57.94580078125,19663.425810185185,10.456,0,AA,89
32,9.36769962310791,57.99420166015625,19663.509907407406,10.048,0,AA,90
33,9.077199935913086,57.90380096435547,19663.61789351852,10.328,0,AA,84
34,10.317999839782715,58.6068000793457,19665.76849537037,10.264,0,AA,99
35,10.61050033569336,58.555301666259766,19665.874282407407,10.441,0,AA,103
36,10.675800323486328,58.45119857788086,19665.954282407405,9.551,0,AA,104
37,10.536800384521484,58.40530014038086,19666.043171296296,10.345,0,AA,102
38,10.975799560546875,58.05400085449219,19666.208333333332,10.364,0,AA,106
39,10.718000411987305,57.992698669433594,19666.302083333332,10.203,0,AA,105
40,10.416500091552734,58.1068000793457,19666.402939814816,10.007,0,AA,101
41,9.855799674987793,58.079200744628906,19666.62423611111,9.619,0,AA,97
42,9.559700012207031,57.99700164794922,19666.687777777777,10.478,0,AA,93
43,9.552300453186035,57.972801208496094,19666.750578703704,10.547,0,AA,92
