rank,Longitude,Latitude,Time,Temperature,Depth,Vaissel_name,Profil_id
0,8.172499656677246,63.06880187988281,19646.98138888889,13.196,20,AA,190
1,8.134499549865723,63.10580062866211,19647.258287037035,13.127,20,AA,189
2,8.102800369262695,63.12730026245117,19647.28840277778,13.289,20,AA,188
3,8.101300239562988,63.12799835205078,19647.566527777777,13.31,20,AA,187
4,8.379799842834473,62.95320129394531,19647.952777777777,12.878,20,AA,192
5,8.428500175476074,62.917198181152344,19648.124537037038,13.015,20,AA,193
6,8.28600025177002,62.997501373291016,19648.305671296297,13.276,20,AA,191
7,5.307000160217285,61.08150100708008,19649.426550925924,12.952,20,AA,154
8,5.307000160217285,61.08150100708008,19649.456597222223,,20,AA,154
9,5.559700012207031,60.87070083618164,19650.209328703702,11.06,20,AA,167
10,5.386199951171875,60.87179946899414,19650.403171296297,12.458,20,AA,160
11,5.47130012512207,60.88199996948242,19650.647696759257,11.852,20,AA,165
12,5.347499847412109,60.84880065917969,19650.99832175926,12.389000000000001,20,AA,158
13,5.316699981689453,60.80619812011719,19651.030208333334,12.621,20,AA,155
14,5.317299842834473,60.80619812011719,19651.379756944447,12.532,20,AA,156
15,5.168700218200684,60.685699462890625,19652.187280092592,11.089,20,AA,148
16,5.168700218200684,60.685699462890625,19652.5134375,11.1,20,AA,148
17,5.215000152587891,60.65620040893555,19652.67042824074,11.122,20,AA,151
18,5.255799770355225,60.624298095703125,19652.937997685185,11.274000000000001,20,AA,153
19,5.091300010681152,60.71220016479492,19653.09107638889,10.919,20,AA,147
20,5.05620002746582,60.72549819946289,19653.734733796296,10.896,20,AA,145
21,5.055799961090088,60.725799560546875,19653.749270833334,10.88,20,AA,144
22,5.038300037384033,60.73350143432617,19653.932997685184,10.804,20,AA,143
23,6.259300231933594,59.507999420166016,19683.833819444444,12.792,20,AA,172
24,6.543499946594238,60.081199645996094,19685.29045138889,9.212,20,AA,175
25,6.547800064086914,60.12200164794922,19685.31355324074,9.672,20,AA,176
26,6.564199924468994,60.17020034790039,19685.341608796294,10.322000000000001,20,AA,177
27,6.633999824523926,60.32500076293945,19685.397696759257,11.69,20,AA,179
28,4.7891998291015625,60.856300354003906,19686.994618055556,9.747,20,AA,139
29,4.8993000984191895,60.84980010986328,19687.029293981483,9.71,20,AA,140
30,5.076000213623047,60.817298889160156,19687.0784375,9.896,20,AA,146
31,5.236499786376953,60.760799407958984,19687.13505787037,10.746,20,AA,152
32,5.411300182342529,60.698699951171875,19687.2084375,10.848,20,AA,162
33,5.340799808502197,60.82429885864258,19687.282349537036,11.294,20,AA,157
34,5.364500045776367,60.86669921875,19687.31769675926,11.540000000000001,20,AA,159
35,5.465799808502197,60.880699157714844,19687.35542824074,11.109,20,AA,164
36,8.172499656677246,63.06880187988281,19646.98138888889,13.172,21,AA,190
37,8.134499549865723,63.10580062866211,19647.258287037035,13.106,21,AA,189
38,8.102800369262695,63.12730026245117,19647.28840277778,13.268,21,AA,188
39,8.101300239562988,63.12799835205078,19647.566527777777,13.284,21,AA,187
40,8.379799842834473,62.95320129394531,19647.952777777777,12.828,21,AA,192
41,8.428500175476074,62.917198181152344,19648.124537037038,12.933,21,AA,193
42,8.28600025177002,62.997501373291016,19648.305671296297,13.259,21,AA,191
43,5.307000160217285,61.08150100708008,19649.426550925924,12.778,21,AA,154
44,5.307000160217285,61.08150100708008,19649.456597222223,,21,AA,154
45,5.559700012207031,60.87070083618164,19650.209328703702,10.818,21,AA,167
46,5.386199951171875,60.87179946899414,19650.403171296297,12.358,21,AA,160
