rank,Longitude,Latitude,Time,Temperature,Depth,Vaissel_name,Profil_id
0,5.307000160217285,61.08150100708008,19649.426550925924,12.952,20,AA,153
1,5.307000160217285,61.08150100708008,19649.456597222223,,20,AA,153
2,5.386199951171875,60.87179946899414,19650.403171296297,12.458,20,AA,159
3,5.47130012512207,60.88199996948242,19650.647696759257,11.852,20,AA,164
4,5.347499847412109,60.84880065917969,19650.99832175926,12.389000000000001,20,AA,157
5,5.316699981689453,60.80619812011719,19651.030208333334,12.621,20,AA,154
6,5.317299842834473,60.80619812011719,19651.379756944447,12.532,20,AA,155
7,5.168700218200684,60.685699462890625,19652.187280092592,11.089,20,AA,147
8,5.168700218200684,60.685699462890625,19652.5134375,11.1,20,AA,147
9,5.215000152587891,60.65620040893555,19652.67042824074,11.122,20,AA,150
10,5.255799770355225,60.624298095703125,19652.937997685185,11.274000000000001,20,AA,152
11,5.091300010681152,60.71220016479492,19653.09107638889,10.919,20,AA,146
12,5.05620002746582,60.72549819946289,19653.734733796296,10.896,20,AA,144
13,5.055799961090088,60.725799560546875,19653.749270833334,10.88,20,AA,143
14,5.038300037384033,60.73350143432617,19653.932997685184,10.804,20,AA,142
15,4.7891998291015625,60.856300354003906,19686.994618055556,9.747,20,AA,138
16,4.8993000984191895,60.84980010986328,19687.029293981483,9.71,20,AA,139
17,5.076000213623047,60.817298889160156,19687.0784375,9.896,20,AA,145
18,5.236499786376953,60.760799407958984,19687.13505787037,10.746,20,AA,151
19,5.411300182342529,60.698699951171875,19687.2084375,10.848,20,AA,161
20,5.340799808502197,60.82429885864258,19687.282349537036,11.294,20,AA,156
21,5.364500045776367,60.86669921875,19687.31769675926,11.540000000000001,20,AA,158
22,5.465799808502197,60.880699157714844,19687.35542824074,11.109,20,AA,163
23,5.307000160217285,61.08150100708008,19649.426550925924,12.778,21,AA,153
24,5.307000160217285,61.08150100708008,19649.456597222223,,21,AA,153
25,5.386199951171875,60.87179946899414,19650.403171296297,12.358,21,AA,159
26,5.47130012512207,60.88199996948242,19650.647696759257,11.895,21,AA,164
27,5.347499847412109,60.84880065917969,19650.99832175926,12.324,21,AA,157
28,5.316699981689453,60.80619812011719,19651.030208333334,12.484,21,AA,154
29,5.317299842834473,60.80619812011719,19651.379756944447,12.382,21,AA,155
30,5.168700218200684,60.685699462890625,19652.187280092592,11.076,21,AA,147
31,5.168700218200684,60.685699462890625,19652.5134375,11.021,21,AA,147
32,5.215000152587891,60.65620040893555,19652.67042824074,11.088000000000001,21,AA,150
33,5.255799770355225,60.624298095703125,19652.937997685185,11.24,21,AA,152
34,5.091300010681152,60.71220016479492,19653.09107638889,10.885,21,AA,146
35,5.05620002746582,60.72549819946289,19653.734733796296,10.891,21,AA,144
36,5.055799961090088,60.725799560546875,19653.749270833334,10.885,21,AA,143
37,5.038300037384033,60.73350143432617,19653.932997685184,10.786,21,AA,142
38,4.7891998291015625,60.856300354003906,19686.994618055556,9.747,21,AA,138
39,4.8993000984191895,60.84980010986328,19687.029293981483,9.704,21,AA,139
