rank,Longitude,Latitude,Time,Temperature,Depth,Vessel_name,Profil_id
0,5.307000160217285,61.08150100708008,19649.426550925924,7.767,200,AA,200
1,5.307000160217285,61.08150100708008,19649.456597222223,,200,AA,200
2,5.559700012207031,60.87070083618164,19650.209328703702,,200,AA,215
3,5.386199951171875,60.87179946899414,19650.403171296297,8.041,200,AA,206
4,5.47130012512207,60.88199996948242,19650.647696759257,8.061,200,AA,211
5,5.347499847412109,60.84880065917969,19650.99832175926,8.022,200,AA,204
6,5.316699981689453,60.80619812011719,19651.030208333334,,200,AA,201
7,5.317299842834473,60.80619812011719,19651.379756944447,,200,AA,202
8,5.168700218200684,60.685699462890625,19652.187280092592,6.413,200,AA,194
9,5.168700218200684,60.685699462890625,19652.5134375,6.412,200,AA,194
10,5.215000152587891,60.65620040893555,19652.67042824074,6.413,200,AA,196
11,5.255799770355225,60.624298095703125,19652.937997685185,,200,AA,199
12,5.091300010681152,60.71220016479492,19653.09107638889,6.41,200,AA,193
13,5.05620002746582,60.72549819946289,19653.734733796296,,200,AA,191
14,5.055799961090088,60.725799560546875,19653.749270833334,,200,AA,190
15,5.038300037384033,60.73350143432617,19653.932997685184,,200,AA,189
16,6.869800090789795,57.63370132446289,19668.302037037036,7.889,200,AA,242
17,6.361199855804443,57.650299072265625,19668.441435185185,,200,AA,233
18,5.934700012207031,57.6682014465332,19668.548333333332,,200,AA,223
19,5.857699871063232,57.76169967651367,19668.622893518517,,200,AA,220
20,5.957200050354004,57.92319869995117,19668.719050925927,8.05,200,AA,225
21,6.554200172424316,58.16080093383789,19668.89613425926,8.008000000000001,200,AA,238
22,6.0346999168396,58.29100036621094,19669.012800925924,8.198,200,AA,226
23,5.776199817657471,58.2859992980957,19669.096412037037,7.952,200,AA,218
24,5.483799934387207,58.33649826049805,19669.186550925926,8.315,200,AA,212
25,5.461699962615967,58.40380096435547,19669.288194444445,8.246,200,AA,209
26,5.572000026702881,58.561798095703125,19669.387314814816,8.124,200,AA,216
27,5.415299892425537,58.58919906616211,19669.46125,7.868,200,AA,208
28,5.242000102996826,58.590301513671875,19669.54097222222,7.682,200,AA,198
29,4.980800151824951,58.660499572753906,19669.623726851853,7.529,200,AA,187
30,4.6427001953125,58.54280090332031,19669.744930555556,7.641,200,AA,179
31,4.517000198364258,58.891998291015625,19669.888703703702,7.479,200,AA,175
32,4.9166998863220215,58.932701110839844,19670.003194444445,7.984,200,AA,185
33,5.173799991607666,58.94049835205078,19670.097962962962,7.5680000000000005,200,AA,195
34,4.348700046539307,58.383201599121094,19672.30861111111,8.112,200,AA,172
35,4.155300140380859,58.33980178833008,19672.42976851852,,200,AA,167
36,4.786499977111816,58.20830154418945,19672.63351851852,7.916,200,AA,181
37,6.409200191497803,57.98030090332031,19673.457476851854,7.946,200,AA,234
38,5.783299922943115,58.94419860839844,19682.974791666667,7.518,200,AA,219
39,6.076900005340576,58.89459991455078,19683.289097222223,,200,AA,228
40,6.274400234222412,59.00320053100586,19683.34252314815,7.336,200,AA,232
41,6.495800018310547,59.03179931640625,19683.391180555554,7.351,200,AA,235
42,6.630199909210205,59.05139923095703,19683.43263888889,,200,AA,240
43,5.8653998374938965,58.984901428222656,19683.559675925924,7.3870000000000005,200,AA,221
44,5.869500160217285,59.067501068115234,19683.598541666666,,200,AA,222
45,6.074999809265137,59.39590072631836,19683.774791666667,7.644,200,AA,227
46,6.259300231933594,59.507999420166016,19683.833819444444,7.547000000000001,200,AA,231
47,5.941999912261963,59.309600830078125,19683.93388888889,7.537,200,AA,224
48,5.551499843597412,59.16559982299805,19684.02965277778,7.822,200,AA,214
49,6.543499946594238,60.081199645996094,19685.29045138889,,200,AA,236
50,6.547800064086914,60.12200164794922,19685.31355324074,,200,AA,237
51,6.564199924468994,60.17020034790039,19685.341608796294,7.38,200,AA,239
52,6.633999824523926,60.32500076293945,19685.397696759257,7.390000000000001,200,AA,241
53,4.7891998291015625,60.856300354003906,19686.994618055556,8.891,200,AA,182
54,4.8993000984191895,60.84980010986328,19687.029293981483,8.34,200,AA,184
55,5.076000213623047,60.817298889160156,19687.0784375,8.171,200,AA,192
56,5.236499786376953,60.760799407958984,19687.13505787037,8.052,200,AA,197
57,5.411300182342529,60.698699951171875,19687.2084375,7.976,200,AA,207
